Date start,Date end,Network,img,url
2014,,Leeds GovJam,img/leedsgovjam.svg,https://leedsgovjam.wordpress.com/
2014,,Leeds Data Thing,img/leedsdatathing.svg,http://www.leedsdatathing.co.uk/
2015,,Leeds Devops,img/leedsdevops.svg,http://www.leedsdevops.org.uk/
2015,,Leeds Service Jam,img/leedsservicejam.svg,https://gsjleeds.wordpress.com/
2016,,Algorave,img/algorave.svg,http://algorave.com/
2016,,Stick People,img/stickpeople.svg,https://stickpeoplehq.co.uk/
2017,,Geolytix,img/geolytix.svg,https://geolytix.co.uk/
2017,,ESRI UK,img/esri.svg,http://www.esriuk.com/
2017,,CodeMill,img/codemill.svg,https://www.meetup.com/CodeMill-Digital-Skills/
2017,,Kirkstall Valley Development Trust,img/kirkstall.svg,https://www.kvdt.org.uk/
2018,,Filmies,img/filmies.svg,http://filmiesapp.com/
2018,,Leeds Live,img/leedslive.svg,https://www.leeds-live.co.uk/
2017,,DXW Digital,img/dxw.svg,https://www.dxw.com/
