Date start,Date end,Name,img,url
2014,,ODI HQ Members-Leeds,img/odi.svg,http://theodi.org/
2014,2018,ODI Leeds Challenge Team,img/odileedschallenge.svg,http://leeds.theodi.org/projects/
2014,,Leeds GovJam,img/leedsgovjam.svg,https://leedsgovjam.wordpress.com/
2014,,Leeds Data Thing,img/leedsdatathing.svg,http://www.leedsdatathing.co.uk/
2014,2018,Global Node Network,img/odinodes.svg,http://theodi.org/nodes
2014,,Data Mill North,img/datamillnorth.svg,http://datamillnorth.org/
2015-01,,Leeds Data City,img/leedsdatacity.svg,https://leeds.datacity.org/
2015,,Leeds Devops,img/leedsdevops.svg,http://www.leedsdevops.org.uk/
2015,,Leeds Service Jam,img/leedsservicejam.svg,https://gsjleeds.wordpress.com/
2015-03,,Leeds City Lab,img/leedscitylab.svg,https://leedscitylab.wordpress.com/
2015,,imactivate,img/imactivate.svg,http://imactivate.com/
2015-11,,IoTUK Boost,img/iot.svg,https://iotuk.org.uk/opencall-iotuk-boost/
2016,,Algorave,img/algorave.svg,http://algorave.com/
2016,2018,Stick People,img/stickpeople.svg,https://stickpeoplehq.co.uk/
2016,,DHEZ Bradford,img/dhez.svg,http://www.dhez.org/
2016,,Digicat Yorks,img/digicat.svg,https://www.digitalcatapultcentre.org.uk/local-centre/yorkshire/
2016,,Leeds Digital Festival,img/leedsdigitalfestival.svg,http://www.leedsdigitalfestival.org/
2016,2018,Smartklub,img/smartklub.svg,http://smartklub.org/
2017,2018,Geolytix,img/geolytix.svg,https://geolytix.co.uk/
2017,,ESRI UK,img/esri.svg,http://www.esriuk.com/
2017,2018,CodeMill,img/codemill.svg,https://www.meetup.com/CodeMill-Digital-Skills/
2017,,Kirkstall Valley Development Trust,img/kirkstall.svg,https://www.kvdt.org.uk/
2017,,Catapult: Future Cities,img/catapult-future-cities.svg,http://futurecities.catapult.org.uk/
2017,,DXW Digital,img/dxw.svg,https://www.dxw.com/
2018,,Filmies,img/filmies.svg,http://filmiesapp.com/
2018,,Leeds Live,img/leedslive.svg,https://www.leeds-live.co.uk/
2018,,Ener-Vate,img/enervate.svg,https://ener-vate.co.uk/
