Date,Visits,Hits,Files,Pages,Total kB files
2018-10,1261,8076,7129,2101,307548
2018-09,17634,115095,104278,30836,4620674
2018-08,17634,115095,104278,30836,4620674
2018-07,17413,110865,100881,29075,3802785
2018-06,23574,167449,153803,42679,5807287
2018-05,25085,207619,186008,48456,5538009
2018-04,28017,219522,197633,67200,4679231
2018-03,28398,240736,215416,80427,4780272
2018-02,26612,176818,156523,67401,4000986
2018-01,26546,174486,148945,61234,4061790
2017-12,26806,132892,112343,58227,3133085
2017-11,26019,135116,113965,51994,3185086
2017-10,30579,176752,158128,56524,5592132
2017-09,20608,114552,101847,43564,2333564
2017-08,19389,142977,127443,43954,2546018
2017-07,13981,102192,91439,33521,2267994
2017-06,18973,176188,158434,41779,4590278
2017-05,14124,127415,108745,35688,2809027
2017-04,11348,126112,75748,26353,1579434
2017-03,10635,231292,76151,25313,1703417
2017-02,10025,792879,65527,21340,2167878
2017-01,9849,128910,75548,21943,1333498
2016-12,9130,131476,73288,21618,1395085
2016-11,5197,138727,42680,12878,1128922
2016-10,6019,970470,54106,14060,2678068
2016-09,4862,349647,57423,16269,1415940
2016-08,4437,94084,32830,10378,994916
2016-07,2400,26276,17686,5940,432139
2016-06,150,23614,7303,2594,127938
