Index,Date start,Date end,Sponsor,logo,url
1,2014-05,,Leeds City Council,img/leeds.svg,http://www.leeds.gov.uk/
2,2014-05,,West Yorkshire Combined Authority,img/wyca.svg,http://www.westyorks-ca.gov.uk/
3,2014-05,,Bradford Council,img/bradford.svg,https://www.bradford.gov.uk/bmdc
4,2014-05,2019-12,Jaywing,img/jaywing.svg,https://jaywing.com/
5,2014-05,,Arup,img/arup.svg,http://www.arup.com/
6,2014-11,,Calderdale Council,img/calderdale.svg,http://dataworks.calderdale.gov.uk/
7,2014-12,2019-12,KPMG,img/kpmg.svg,http://www.kpmg.com/uk/en/pages/default.aspx
8,2015-03,2019-12,BJSS,img/bjss.svg,http://www.bjss.com/
9,2015-03,,University of Leeds,img/universityofleeds.svg,http://www.leeds.ac.uk/
10,2016-02,2019-12,highways england,img/highwaysengland.svg,http://gov.uk/highways
11,2018-01,,Yorkshire Water,img/yorkshirewater.svg,https://www.yorkshirewater.com/
12,2018-03,2019-12,aql,img/aql.svg,https://aql.com/
13,2018-03,,NHS Digital,img/nhs-digital.svg,https://digital.nhs.uk/
14,2018-05,,Transport for the North,img/transportnorth.svg,https://transportforthenorth.com
15,2018-05,2019-12,Open Data Soft,img/opendatasoft.svg,https://www.opendatasoft.com/
16,2019-06,,Northern Powergrid,img/northernpowergrid.svg,https://www.northernpowergrid.com/
17,2019-09,,TPX Impact,img/futuregov-tpximpact.svg,https://www.wearefuturegov.com/
18,2020-01,2020-12-31,NHSX,img/nhs-x.svg,https://www.nhsx.nhs.uk/
19,2020-01,2020-12-31,Northern Gas Networks,img/northerngas.svg,https://www.northerngasnetworks.co.uk/
20,2020-03,2021-02-28,Network Rail,img/networkrail.svg,https://www.networkrail.co.uk/
21,2021-07,,The Coders Guild,img/codersguild.svg,https://thecodersguild.org.uk/
22,2020-08,,Mohn Westlake Foundation,img/codersguild.svg,https://www.themohnwestlakefoundation.co.uk/
